GO_ID,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0101003,CC,ficolin-1-rich granule membrane,58,2,0.0161636604710725,1,"FPR2,PTPRN2"
GO:0003172,BP,sinoatrial valve development,2,1,0.0165828160340226,1,SHOX2
GO:0060931,BP,sinoatrial node cell development,4,1,0.0166240135582246,1,SHOX2
GO:0006066,BP,alcohol metabolic process,321,4,0.016695846409655,1,"OSBPL5,DEGS2,ITPK1,LEP,MBTPS1"
GO:0003213,BP,cardiac right atrium morphogenesis,2,1,0.0167535352619713,1,SHOX2
GO:0120009,BP,intermembrane lipid transfer,50,2,0.0169645337853794,1,"OSBPL5,OSBPL10"
GO:0016266,BP,protein O-linked glycosylation via N-acetyl-galactosamine,38,2,0.017529122935745,1,"GALNT2,GALNT3"
GO:1904646,BP,cellular response to amyloid-beta,44,2,0.0179183686466785,1,"FPR2,IGF1R"
GO:0004488,MF,methylenetetrahydrofolate dehydrogenase (NADP+) activity,4,1,0.0179436369884197,1,MTHFD1L
GO:0071326,BP,cellular response to monosaccharide stimulus,133,3,0.0182818036115184,1,"IGF1R,LEP,PTPRN2"
GO:0060921,BP,sinoatrial node cell differentiation,5,1,0.01829814557891,1,SHOX2
GO:0001936,BP,regulation of endothelial cell proliferation,159,3,0.0184302478277052,1,"SULF1,LEP,NRP2"
GO:0042436,BP,indole-containing compound catabolic process,10,1,0.0186036785261034,1,HAAO
GO:0005609,CC,laminin-221 trimer,3,1,0.0187683962351334,1,LAMA2
GO:0014846,BP,esophagus smooth muscle contraction,2,1,0.0190216549121858,1,SULF1
GO:0060572,BP,morphogenesis of an epithelial bud,2,1,0.0192060113954649,1,SULF1
GO:0046642,BP,negative regulation of alpha-beta T cell proliferation,8,1,0.0192473489933363,1,TARM1
GO:0014823,BP,response to activity,64,2,0.0193118488432493,1,"METRNL,LEP"
GO:0030728,BP,ovulation,8,1,0.0197015616564378,1,LEP
GO:0120199,CC,cone photoreceptor outer segment,5,1,0.0197302387246082,1,SLC24A4
GO:0070821,CC,tertiary granule membrane,68,2,0.0200862155718157,1,"FPR2,TARM1"
GO:0004888,MF,transmembrane signaling receptor activity,1143,8,0.0201867025596238,1,"FPR2,FPR3,IGF1R,TARM1,PTPRG,PTPRN2,NRP2,GPRC5A"
GO:0021630,BP,olfactory nerve maturation,2,1,0.0202167507387705,1,SLC24A4
GO:0071322,BP,cellular response to carbohydrate stimulus,140,3,0.0202892919701922,1,"IGF1R,LEP,PTPRN2"
GO:0032278,BP,positive regulation of gonadotropin secretion,8,1,0.0205357966014065,1,LEP
GO:1990145,BP,maintenance of translational fidelity,7,1,0.0206894727994623,1,CDKAL1
GO:0098808,MF,mRNA cap binding,4,1,0.0207919733530725,1,AGO2
GO:0050999,BP,regulation of nitric-oxide synthase activity,6,1,0.0208762551515953,1,LEP
GO:0010972,BP,negative regulation of G2/M transition of mitotic cell cycle,69,2,0.0209349888407638,1,"FOXN3,MBTPS1"
