slideId,dim1,dim2,group,split
502377,14.085654,2.681567,0,test
503492,-2.746172,-3.7136607,0,train
503807,-15.263288,-3.1855247,0,train
504265,3.292468,4.591544,IB,test
506755,-11.243178,-1.1227636,IA,train
511310,12.207014,-0.9326808,IIA,test
511591,4.8262663,3.7742732,IA,test
511860,-1.3944796,0.5827765,0,train
513005,15.1394415,-4.35147,IIA,test
513942,-22.252132,1.0124644,IA,test
514193,1.6958013,-0.3701416,0,train
515966,12.706554,0.6133463,IB,train
520390,-10.8684435,2.0843637,0,train
521092-2,1.8184237,0.92402357,0,train
521208,5.2065988,4.051154,IA,test
521912,22.390778,0.21971712,IB,train
522063,-0.5736365,-2.1667867,0,train
522500,12.250442,6.753325,IB,train
524981,-4.9728794,-2.7766254,0,train
525132-1,10.583171,1.2054455,0,train
525488,10.273067,1.9250044,IA,train
526038,23.27058,1.8554659,IB,test
527228,-20.401945,3.5359724,IA,test
530723,-18.36163,-1.2381741,0,test
531152,-21.852448,-1.0503656,0,test
538403,2.49039,3.6229193,0,test
540356,5.7860527,4.579107,0,test
541324,-18.909403,-4.237161,IA,train
542754-1,-22.834826,-0.36057663,0,train
545094,11.907627,-1.9814748,IB,train
545372,4.652255,-0.2748541,IA,test
546299,11.037876,-3.2065525,IB,train
547665,-10.00381,-1.7332206,0,train
549165,8.9674635,0.324368,IA,train
554185,-1.0371284,-3.2556195,0,train
554970,20.487806,0.02241195,III,train
555612,-29.593132,-0.51863015,IA,train
557961,15.351912,2.5528934,IA,train
558024,16.09594,6.451529,IIB/C,train
559196,-14.68245,-0.7115346,IA,train
564124,22.270714,2.1026068,III,train
564670,10.347076,9.454629,IB,test
566049,-19.944176,1.7086982,0,train
570200,-3.7535603,3.8240077,IA,train
573113-1,10.049921,1.19822,IA,test
574046,14.372937,2.7511592,IB,test
576167,17.607807,3.1081207,IB,test
577845,-20.719807,0.5262657,IA,test
580101-2,-9.603827,2.8477972,IB,train
583163,20.044062,1.5225278,III,train
583846,-12.685073,2.2076821,0,train
590700,22.559378,-3.5324244,IIB/C,train
592456-1,17.621311,-0.12618762,IB,train
593120,0.093549095,-4.574002,IA,train
596370,19.410587,3.8374565,IA,train
602845,-15.269835,-5.9753346,IA,train
603514,-28.284376,0.08127267,IA,train
608216,-23.53299,-4.5150723,0,train
610359,-20.124975,-6.76535,IA,train
613421,-27.498201,2.0823903,IA,test
615122,-10.295248,-2.288628,0,train
618720,16.667336,-4.724228,IIB/C,train
619807-2,-3.3275979,0.2601171,IB,train
622744,-13.509674,1.9996,0,train
622869,7.8631463,7.59495,IB,train
626414,-24.365166,-1.3618337,IA,train
639877,-10.559268,-1.361609,0,train
640440-1,20.518103,-0.7361239,IIB/C,train
640440-2,25.53842,2.2106538,IB,train
642345-1,26.211296,0.9785832,III,train
643765,1.338128,-2.6956708,III,train
657863,6.523183,-0.6181495,0,train
658659,-8.76972,-2.163692,0,train
661753,22.998064,1.4509346,IIA,train
663974,-23.10129,-6.4187245,0,train
665087-1,-27.522692,1.0517817,0,train
665087-2,-9.111208,-0.3823357,IA,train
666045,16.295893,-0.60199934,IA,train
666563,-2.1553662,5.1014113,IB,train
667823,-8.248152,-1.5989168,IA,train
668403-1,-23.827148,0.6785659,0,train
668403-2,-23.760008,1.7292911,IA,train
672910-1,3.9736295,1.5287038,IB,train
673151,8.431674,-2.5522535,IA,train
678133,2.4351034,0.030746678,IA,train
679218,-9.914545,1.0593944,0,train
686840,-13.639597,-0.010782927,IA,train
692561,-7.1576433,-2.690347,IA,train
693169,11.74958,-3.7675076,IA,train
697339,-16.438602,-2.1722093,0,train
699110,-23.809347,-5.0896144,IB,train
701462,13.0288,-1.3085455,IA,train
703576,-7.8009415,-2.3018026,IB,train
703697,-14.188754,3.2994707,IA,train
716389,-23.176771,0.3312633,0,train
724969,-12.169523,-1.5129272,IA,train
727330,16.483332,-0.08171426,IB,train
730538,9.727716,2.8466225,IA,train
733567,14.14585,4.7819386,IB,train
734109,20.704285,1.6131434,IIB/C,train
737207,21.757399,-0.8953684,IB,train
737569,18.858036,3.7638803,0,train
737721,-0.5569553,4.679364,IB,train
740941,0.1272798,7.221755,IIB/C,train
745192-1,25.617949,3.7545617,IIB/C,train
749176,-0.42621657,0.2194149,0,train
752609-1,18.98535,5.0313463,IIB/C,train
752609-2,-11.378019,0.56117845,IA,train
753457,22.446917,-1.8538972,IIA,train
759039,-17.715044,-0.46854424,IA,train
761124,9.347095,-0.9895629,IA,train
767296,-21.017359,1.3911259,IA,train
768250,3.0274718,6.760372,IB,train
770383,-15.747532,-2.3442159,0,train
771394,-11.200944,-0.56708604,IA,train
772561,-3.5432248,1.4296585,IA,train
773387,-1.1756959,-0.4891431,IA,train
773888,-13.689088,-2.4157865,0,train
774309-1,10.389049,-2.2316327,IA,train
776722,22.224136,-2.0864794,IIB/C,train
777041,9.489072,-2.4002855,0,train
781478-1,27.066862,1.6743366,IIB/C,train
781773,9.151993,-5.8190627,IA,train
783370,22.037954,0.4459473,IB,train
783798,8.571151,-3.5347035,IB,train
786363,8.537016,-0.92371964,IA,train
787884,13.200837,5.44978,III,train
789479,11.890339,0.6337428,IA,train
791762,-12.731772,0.39725348,0,train
792992,-24.139202,-0.29450485,0,train
795437,-13.368082,-2.6726809,0,train
796338,-13.459422,-0.81987697,0,train
797778,17.700283,-5.1782184,IIB/C,train
798792,9.23961,-0.104630455,IA,train
799417,6.94967,-0.70129234,IA,train
799469,13.183473,-2.0043807,IA,train
800199-1,-12.01694,1.5238495,IA,train
800199-2,0.05087507,5.064048,IB,train
800231,16.39742,1.444129,IB,train
806056,14.390419,0.2493532,IB,train
810151,7.8851624,-0.5007398,IA,train
810872,23.2672,2.524865,IIB/C,train
811923,-25.244884,-5.2230916,IA,train
812674,-21.600342,-0.6313006,IA,train
813888,-1.2664945,1.4276048,IA,train
816528,9.034937,5.299515,0,train
818283,-21.00504,-0.97508,0,train
818680,15.884641,3.688707,III,train
821756,-21.72023,-3.237572,0,train
822142,-14.081204,-3.6476398,0,train
827832,19.257393,-3.8707752,III,train
829166,-12.249831,-0.71815854,IB,train
829648-2,8.4431505,1.2501078,IA,train
832207,15.228513,3.129185,IB,train
849969-1,11.223429,6.345428,IB,train
853282-1,11.706747,1.6612974,IA,train
856413,11.842666,-4.745647,IB,train
858009,-2.372885,2.0691159,IA,train
