filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
none,none,elasticnet,2,12,1.3986306874364896,0.1273968150796229,0.2186502895973927,2.34975140944764,1.3493961332533884,0.3519850472251969,0.3725443994882511,1.4287307992452585,2.5393763359592016
none,none,svr,2,12,1.3754104205715605,0.1668819426504779,0.1649560467429147,2.2303194815538365,1.1715580845068987,0.5009001335632612,1.172533925764378,1.161183369841839,2.01596752819915
none,none,random_forest,2,12,1.0926006172839504,0.6122361051271004,0.6964310369334761,0.9291,0.6117037037037036,1.2254666666666667,1.641333333333333,0.7120000000000001,1.4360000000000002
none,none,xgboost,2,12,1.1701885187670726,0.568873749201618,0.6136400419613642,0.9247660965658724,0.7503547105524275,1.2399506449699402,1.680780718723933,0.9278150598208108,1.497463881969452
none,none,coral,2,12,1.0233632767917933,0.5706241201313937,0.6307595169683812,1.2926433756947515,0.7006188664171431,0.9529720306396484,1.3382278482119243,0.6004089713096619,1.2553085684776306
none,none,ordinal_mlp,2,12,1.0008792514234413,0.6129788897576232,0.6594250282279718,1.2714027553796767,0.5425762114701448,0.7722771604855855,1.4352421760559082,0.6828871766726176,1.300890028476715
none,none,corn,2,12,0.8842592592592592,0.7191780821917808,0.687282104437049,0.65,0.5555555555555556,0.9333333333333332,1.3333333333333333,0.3333333333333333,1.5
none,none,mord_ridge,2,12,1.1793209876543211,0.5017553335133675,0.6638302660142101,1.5,0.925925925925926,0.7333333333333333,1.0,1.1666666666666667,1.75
none,none,mord_logistic_at,2,12,1.037962962962963,0.5955793053194073,0.6911381312034589,1.25,0.7777777777777778,0.8666666666666667,1.0,0.8333333333333334,1.5
none,none,ogboost,2,12,1.096604938271605,0.6337433449605288,0.6517269419270914,0.75,0.6296296296296297,1.2,2.333333333333333,0.6666666666666666,1.0
none,none,ridge,3,12,0.8674686650178612,0.5396843681603503,0.6543846521313937,1.1901035592249156,0.6861084914418697,0.6927350006108707,0.094663686314302,0.8851967667983036,1.656004485716906
none,none,lasso,3,12,1.4225005328937392,0.2006934257901054,0.5768237239663377,2.38172895887956,1.4235840208889143,0.526907830792102,0.4244154713523695,1.3948931518820842,2.3834737635674057
none,none,elasticnet,3,12,1.375664153263093,0.2666846433868141,0.6711866912743708,2.299937110884557,1.349464838452569,0.4974955183651684,0.4651561762203167,1.339360563252786,2.302570712403161
