filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
boruta,pca100,elasticnet,3,100.0,0.8860436878671466,0.662330623306233,0.6509141889129039
boruta,pca100,svm,3,100.0,0.8760757829029546,0.6871273712737128,0.6752553221009707
boruta,pca100,mlp,3,100.0,0.8694346261157998,0.657859078590786,0.6587960830475801
boruta,pca100,cnn,3,100.0,0.8599880842256363,0.6697831978319785,0.6305916305916306
boruta,pca200,xgboost,3,200.0,0.8775624761909038,0.6971544715447154,0.6943508310961329
boruta,pca200,random_forest,3,200.0,0.8553498220445475,0.6663956639566395,0.6700408508533174
boruta,pca200,logistic,3,200.0,0.8829756075108389,0.6886178861788618,0.6745055145383283
boruta,pca200,elasticnet,3,200.0,0.8823628904785319,0.6982384823848239,0.6847953216374268
boruta,pca200,svm,3,200.0,0.8734863916748804,0.7078590785907859,0.7011366822132171
boruta,pca200,mlp,3,200.0,0.8643983287043587,0.6730352303523035,0.6750991714962079
boruta,pca200,cnn,3,200.0,0.8625731907519295,0.6956639566395664,0.668777668470241
boruta,pca300,xgboost,3,300.0,0.8781811759017893,0.6663956639566395,0.6665817370424416
boruta,pca300,random_forest,3,300.0,0.8527645588179161,0.6527100271002709,0.6604385631172619
boruta,pca300,logistic,3,300.0,0.8856996113457406,0.7119241192411924,0.7020580064058324
boruta,pca300,elasticnet,3,300.0,0.8835923800414475,0.718970189701897,0.7026314150131002
boruta,pca300,svm,3,300.0,0.8750970372690471,0.7215447154471545,0.7171131441844222
boruta,pca300,mlp,3,300.0,0.8445461499802791,0.6730352303523035,0.6741105637657362
boruta,pca300,cnn,3,300.0,0.8791366456884674,0.682249322493225,0.669766573295985
boruta,pls20,xgboost,3,20.0,0.829544623204448,0.6441734417344174,0.645808484122357
boruta,pls20,random_forest,3,20.0,0.8237823728865568,0.6471544715447154,0.6486111111111111
boruta,pls20,logistic,3,20.0,0.8490317415946874,0.6764227642276422,0.6694128246443856
boruta,pls20,elasticnet,3,20.0,0.8462992993296407,0.6668021680216802,0.6584579976985041
boruta,pls20,svm,3,20.0,0.8441180820776725,0.6926829268292684,0.6891534391534391
boruta,pls20,mlp,3,20.0,0.8001240786020122,0.6338753387533875,0.63040145718412
boruta,pls20,cnn,3,20.0,0.8484860548860942,0.6678861788617886,0.6753207455821834
boruta,pls30,xgboost,3,30.0,0.829869965849617,0.6567750677506775,0.6595253030808585
boruta,pls30,random_forest,3,30.0,0.8213949029075351,0.6264227642276423,0.6276747301549538
boruta,pls30,logistic,3,30.0,0.8477181624205086,0.6738482384823848,0.6720628930817609
boruta,pls30,elasticnet,3,30.0,0.848192431195922,0.6738482384823848,0.6720628930817609
boruta,pls30,svm,3,30.0,0.842387081268631,0.6678861788617886,0.6687204193979261
boruta,pls30,mlp,3,30.0,0.8054485830173131,0.6197831978319783,0.6211535783904205
boruta,pls30,cnn,3,30.0,0.8605282302909331,0.6627371273712738,0.6601762820512821
boruta,ae,xgboost,4,64.0,0.8733975658952599,0.6386178861788618,0.6375933245498463
boruta,ae,random_forest,4,64.0,0.8669979806787723,0.6530003871467286,0.6499983033017748
boruta,ae,logistic,4,64.0,0.8927936912119959,0.7548974061169184,0.7174935846662601
boruta,ae,elasticnet,4,64.0,0.8942191794231652,0.7390243902439023,0.7068492242069869
boruta,ae,svm,4,64.0,0.890716216702979,0.7301006581494386,0.6906831486270738
boruta,ae,mlp,4,64.0,0.9077471650282736,0.7279907084785133,0.722912353347136
boruta,ae,cnn,4,64.0,0.8998159228096115,0.5937669376693767,0.5507599489499942
boruta,ae_vae,xgboost,4,64.0,0.8398100148177136,0.595760743321719,0.5965846974855421
boruta,ae_vae,random_forest,4,64.0,0.8506779184778918,0.6238288811459544,0.623758803329259
boruta,ae_vae,logistic,4,64.0,0.9038290740026744,0.720383275261324,0.6634270806456237
boruta,ae_vae,elasticnet,4,64.0,0.9045577643747847,0.720383275261324,0.6634270806456237
boruta,ae_vae,svm,4,64.0,0.896169381241664,0.7451800232288037,0.6914568907871179
boruta,ae_vae,mlp,4,64.0,0.8931383265236148,0.7370499419279907,0.6821239310256425
boruta,ae_vae,cnn,4,64.0,0.8957407349271969,0.730797522260937,0.6830827067669173
boruta,chrom_hmm,xgboost,4,15.0,0.8937768361836648,0.7011033681765388,0.70651918887213
boruta,chrom_hmm,random_forest,4,15.0,0.8970311332410864,0.675609756097561,0.6836290071584189
boruta,chrom_hmm,logistic,4,15.0,0.8854859820624467,0.7319783197831978,0.7019926555640631
boruta,chrom_hmm,elasticnet,4,15.0,0.8846989817473018,0.7319783197831978,0.7019926555640631
boruta,chrom_hmm,svm,4,15.0,0.8900045237410259,0.7297909407665505,0.7093294659947654
boruta,chrom_hmm,mlp,4,15.0,0.869161728129776,0.7061749903213318,0.6994598594154643
boruta,chrom_hmm,cnn,4,15.0,0.8771133928476701,0.6898954703832753,0.692640060369275
boruta,none,xgboost,4,406.0,0.917653754456334,0.7154858691444058,0.7213314293485652
boruta,none,random_forest,4,406.0,0.9141098004187252,0.6914827719705768,0.697416249140387
boruta,none,logistic,4,406.0,0.9146488067658076,0.7764034068912117,0.7643524461560406
boruta,none,elasticnet,4,406.0,0.9131986191301988,0.7564653503677894,0.7463985166167451
boruta,none,svm,4,406.0,0.9101366768477016,0.7856368563685637,0.7681471306471307
boruta,none,mlp,4,406.0,0.8925620750165857,0.7260162601626016,0.6966679091070883
boruta,none,cnn,4,406.0,0.8552681441424693,0.6219318621757646,0.5706348826142639
boruta,pca100,xgboost,4,100.0,0.9150984475224228,0.7351335656213704,0.7474611635450796
boruta,pca100,random_forest,4,100.0,0.906816152888698,0.6815718157181573,0.6882285276073619
boruta,pca100,logistic,4,100.0,0.9144166533322792,0.7785907859078591,0.7578234522678967
boruta,pca100,elasticnet,4,100.0,0.9132756715269128,0.794463801780875,0.7689069885542404
boruta,pca100,svm,4,100.0,0.9190753628867512,0.7841463414634147,0.7660472168074507
boruta,pca100,mlp,4,100.0,0.8919425216270644,0.6675764614789005,0.6690853048046529
boruta,pca100,cnn,4,100.0,0.8773853622922013,0.699922570654278,0.6951658992046302
boruta,pca200,xgboost,4,200.0,0.907991627489018,0.7265969802555169,0.7401786887399816
boruta,pca200,random_forest,4,200.0,0.8926160896036164,0.6697638404955478,0.6757308911588588
