filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
boruta,pca200,logistic,4,200.0,0.9151875766006706,0.7819589624467674,0.7721696245772395
boruta,pca200,elasticnet,4,200.0,0.913102309884111,0.7605303910181959,0.7510235094305892
boruta,pca200,svm,4,200.0,0.9247615707331244,0.7937669376693767,0.7817204786293931
boruta,pca200,mlp,4,200.0,0.8836191271498963,0.7214479287650019,0.7287860121427436
boruta,pca200,cnn,4,200.0,0.8283808838379958,0.446031746031746,0.4045388091440723
boruta,pca300,xgboost,4,300.0,0.9128911291287052,0.6413859852884243,0.6345381526104418
boruta,pca300,random_forest,4,300.0,0.8870067924426981,0.655768486256291,0.6586067480521863
boruta,pca300,logistic,4,300.0,0.912544332021878,0.7660859465737514,0.7587182018746724
boruta,pca300,elasticnet,4,300.0,0.911093972921038,0.7937669376693767,0.7785400799646429
boruta,pca300,svm,4,300.0,0.9217949055720972,0.7778939217963609,0.7691459148474543
boruta,pca300,mlp,4,300.0,0.8905158310024796,0.6666860240030972,0.6684283355570794
boruta,pca300,cnn,4,300.0,0.8720910538690955,0.6212349980642663,0.6394576592964013
boruta,pls20,xgboost,4,20.0,0.906030413661606,0.7431668602400311,0.7521032344561757
boruta,pls20,random_forest,4,20.0,0.9190875915733402,0.7144018583042974,0.71917153884367
boruta,pls20,logistic,4,20.0,0.8940766489740234,0.7198606271777003,0.712328209304693
