filter,reducer,model,fold,n_features,mae_macro,qwk,spearman_rho,mae_group_0,mae_group_1,mae_group_2,mae_group_3,mae_group_4,mae_group_5
iqr,pls30,corn,0,30,0.5950617283950618,0.8312883435582822,0.7334316534433466,0.45,0.3703703703703703,0.6666666666666666,0.3333333333333333,0.5,1.25
iqr,pls30,mord_ridge,0,30,0.6484567901234568,0.8068350668647846,0.678928458396933,0.6,0.4074074074074074,0.8,0.3333333333333333,0.5,1.25
iqr,pls30,mord_logistic_at,0,30,0.6574074074074074,0.8058608058608059,0.667319021075792,0.55,0.4444444444444444,0.8666666666666667,0.3333333333333333,0.5,1.25
iqr,pls30,ogboost,0,30,0.7003086419753086,0.7967479674796748,0.7398229670862312,0.35,0.5185185185185185,1.0,0.6666666666666666,0.6666666666666666,1.0
iqr,ae,ridge,0,64,0.7171954219723925,0.7728315741165672,0.7498270918444732,0.5065757274627686,0.7317054183394821,0.8512849489847819,0.6410432656606039,0.4883716106414795,1.0841915607452393
iqr,ae,lasso,0,64,0.7436431150009604,0.7696954442486785,0.7177465557777835,0.801232761144638,0.7351790092609547,0.7707510709762573,0.4519614378611247,0.4624236822128296,1.2403107285499573
iqr,ae,elasticnet,0,64,0.7260315643048582,0.775112443778111,0.7252418699647935,0.749606055021286,0.7117035962917186,0.7621454954147339,0.4628711541493733,0.4622542063395182,1.2076088786125183
iqr,ae,svr,0,64,0.6544688913805473,0.8124191461836998,0.7604713250094579,0.293560656492155,0.7025862353294068,0.8884818873491512,0.4434072025919653,0.3984485089311085,1.2003288575894968
iqr,ae,random_forest,0,64,0.6700043209876543,0.75,0.7003609749416418,0.5206999999999999,0.7519259259259259,0.8210666666666667,0.1153333333333332,0.3359999999999999,1.475
iqr,ae,xgboost,0,64,0.6971386480300378,0.7370881046973592,0.6964137384762934,0.3991283795796335,0.7431865738083919,0.8965945263703664,0.5258500576019287,0.3446164925893147,1.2734558582305908
iqr,ae,coral,0,64,0.7427442296327632,0.7604790419161677,0.7650246914189235,0.7106416001915932,0.7888017583776403,0.8492220322291056,0.3908038139343261,0.4063226381937663,1.3106735348701477
iqr,ae,ordinal_mlp,0,64,0.690083776736333,0.7931034482758621,0.7755802226408666,0.5876249477267266,0.707571769202197,0.8839010039965312,0.4436611334482829,0.3166855971018473,1.201058208942413
iqr,ae,corn,0,64,0.6018518518518519,0.7835738068812431,0.6876729311418724,0.2,0.7777777777777778,1.1333333333333333,0.0,0.5,1.0
iqr,ae,mord_ridge,0,64,0.6999999999999998,0.7728315741165672,0.7253914390017685,0.5,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.5,1.0
iqr,ae,mord_logistic_at,0,64,0.7342592592592592,0.7792746113989638,0.7163247307632504,0.25,0.8888888888888888,0.9333333333333332,0.6666666666666666,0.6666666666666666,1.0
iqr,ae,ogboost,0,64,0.7549382716049383,0.7485724811199116,0.7056404720643108,0.2,0.9629629629629628,1.2,0.6666666666666666,0.5,1.0
iqr,ae_vae,ridge,0,64,0.6889050583044689,0.7991689750692521,0.7683066633114604,0.5501622319221496,0.7040972709655762,0.8889957586924235,0.4516851902008056,0.3594541152318318,1.179035782814026
iqr,ae_vae,lasso,0,64,0.8050545869970028,0.7147066702384142,0.7080041257003878,1.023119494318962,0.8053404710910939,0.7262923161188761,0.3244202931722005,0.5403422117233276,1.4108127355575562
iqr,ae_vae,elasticnet,0,64,0.7878751268357407,0.7350382283153176,0.7059196300389116,0.9933292746543884,0.7673965515913787,0.7327097813288371,0.3525096575419108,0.532596747080485,1.3487087488174438
iqr,ae_vae,svr,0,64,0.6591236647034626,0.8016139878950908,0.759421685350133,0.302510097971017,0.703967084609591,0.9725318591125108,0.4420336924314439,0.3515347257308426,1.1821645283653703
iqr,ae_vae,random_forest,0,64,0.6237907407407408,0.807831762146483,0.7155170098397249,0.5112,0.6104444444444445,0.8476,0.2853333333333332,0.3576666666666666,1.1305
iqr,ae_vae,xgboost,0,64,0.7691820804225165,0.7448400997958721,0.676174911805649,0.573604722134769,0.6701890558556274,0.8974249303340912,0.5274257659912109,0.6344236532847086,1.3120243549346924
iqr,ae_vae,coral,0,64,0.7322849018062337,0.7587439366862394,0.7704502936016309,0.6737229093909264,0.695162108650914,0.8992309888203939,0.3854823112487793,0.4064871470133464,1.3336239457130432
iqr,ae_vae,ordinal_mlp,0,64,0.6989733920145182,0.8094772838299951,0.7825137578552802,0.6011076793074608,0.6665920306135107,0.8981346050898235,0.4329625765482585,0.3470480839411418,1.247995376586914
iqr,ae_vae,corn,0,64,0.5768518518518518,0.8084544253632762,0.7340312625282496,0.15,0.7777777777777778,0.8666666666666667,0.3333333333333333,0.3333333333333333,1.0
iqr,ae_vae,mord_ridge,0,64,0.6299382716049383,0.7991689750692521,0.789037647510069,0.45,0.6296296296296297,0.8666666666666667,0.6666666666666666,0.1666666666666666,1.0
iqr,ae_vae,mord_logistic_at,0,64,0.6456790123456789,0.7922077922077921,0.7458020556857995,0.3,0.7407407407407407,1.0,0.6666666666666666,0.1666666666666666,1.0
iqr,ae_vae,ogboost,0,64,0.6564814814814814,0.7836812144212524,0.7242314314599354,0.1,0.8888888888888888,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.75
